
Baseline acc. dev: 0.5051546391752577	 test: 0.49379310344827587
Lesk acc. dev: 0.22164948453608246	 test: 0.21448275862068966
Lesk w/POS acc. dev: 0.25773195876288657	 test: 0.2675862068965517
Modified Lesk acc. dev: 0.26804123711340205	 test: 0.29517241379310344
Modified Lesk w/POS acc. dev: 0.30927835051546393	 test: 0.32413793103448274
Semi-weighted Lesk acc. dev: 0.28865979381443296	 test: 0.29517241379310344
Semi-weighted Lesk w/POS acc. dev: 0.32989690721649484	 test: 0.32413793103448274

Process finished with exit code 0

Semi-weighted Lesk acc. dev: 0.28865979381443296	 test: 0.29517241379310344
Semi-weighted Lesk w/POS acc. dev: 0.32989690721649484	 test: 0.32413793103448274
